time,temperature,humidity,precipitation,pressure,wind_speed
2025-05-18 00:00:00,22.3,89,0.0,1010.2,4.9
2025-05-18 01:00:00,22.1,91,0.0,1009.2,7.0
2025-05-18 02:00:00,21.8,92,0.4,1008.8,7.0
2025-05-18 03:00:00,21.8,91,0.2,1008.2,5.6
2025-05-18 04:00:00,22.0,90,0.0,1007.7,7.3
2025-05-18 05:00:00,21.8,92,0.0,1007.7,5.2
2025-05-18 06:00:00,21.7,93,0.0,1008.1,4.3
2025-05-18 07:00:00,22.6,89,0.0,1008.7,8.7
2025-05-18 08:00:00,23.8,83,0.0,1009.3,9.2
2025-05-18 09:00:00,24.9,78,0.0,1009.3,9.2
2025-05-18 10:00:00,26.3,70,0.0,1008.9,9.0
2025-05-18 11:00:00,27.1,67,0.1,1008.3,7.9
2025-05-18 12:00:00,28.0,65,0.0,1007.5,6.8
2025-05-18 13:00:00,28.7,61,0.0,1006.2,5.9
2025-05-18 14:00:00,28.7,61,0.1,1005.1,6.2
2025-05-18 15:00:00,27.3,71,2.7,1004.3,7.3
2025-05-18 16:00:00,26.5,73,2.6,1004.3,6.7
2025-05-18 17:00:00,26.1,74,0.5,1004.6,4.0
2025-05-18 18:00:00,25.7,77,0.7,1005.6,1.5
2025-05-18 19:00:00,25.0,80,1.7,1006.6,1.9
2025-05-18 20:00:00,24.3,85,1.1,1007.5,5.4
2025-05-18 21:00:00,23.7,89,0.0,1008.1,4.5
2025-05-18 22:00:00,23.3,90,1.5,1008.5,2.8
2025-05-18 23:00:00,23.0,89,3.9,1008.3,1.6
2025-05-19 00:00:00,22.7,89,2.4,1007.7,2.1
2025-05-19 01:00:00,22.4,90,1.9,1006.9,3.4
2025-05-19 02:00:00,22.1,92,0.6,1006.5,3.4
2025-05-19 03:00:00,22.0,93,0.3,1006.2,4.1
2025-05-19 04:00:00,21.9,93,0.3,1006.3,4.3
2025-05-19 05:00:00,21.9,92,0.3,1006.6,6.1
2025-05-19 06:00:00,21.8,92,0.4,1007.2,5.4
2025-05-19 07:00:00,22.3,90,0.0,1008.0,5.4
2025-05-19 08:00:00,23.2,86,0.0,1008.4,6.9
2025-05-19 09:00:00,24.6,79,0.0,1008.3,6.1
2025-05-19 10:00:00,26.2,72,0.0,1007.8,4.4
2025-05-19 11:00:00,27.2,66,0.0,1006.9,2.9
2025-05-19 12:00:00,28.1,64,0.0,1006.2,2.3
2025-05-19 13:00:00,27.8,67,0.2,1005.3,3.8
2025-05-19 14:00:00,26.7,74,7.4,1004.6,4.9
2025-05-19 15:00:00,26.5,75,6.9,1004.1,5.1
2025-05-19 16:00:00,26.0,78,6.3,1004.2,6.0
2025-05-19 17:00:00,25.2,82,6.5,1005.1,6.8
2025-05-19 18:00:00,24.5,86,5.8,1006.1,7.3
2025-05-19 19:00:00,23.7,90,2.2,1007.1,5.9
2025-05-19 20:00:00,23.4,93,0.8,1007.7,5.0
2025-05-19 21:00:00,23.0,92,3.1,1008.4,10.4
2025-05-19 22:00:00,22.4,91,2.0,1008.5,10.9
2025-05-19 23:00:00,22.1,93,1.0,1008.3,9.7
2025-05-20 00:00:00,21.8,94,0.6,1007.4,10.0
2025-05-20 01:00:00,21.7,94,0.6,1006.6,10.1
2025-05-20 02:00:00,21.7,94,0.0,1005.9,10.5
2025-05-20 03:00:00,21.7,94,0.0,1005.6,10.1
2025-05-20 04:00:00,21.8,93,0.0,1005.9,10.6
2025-05-20 05:00:00,21.8,92,0.0,1006.3,9.1
2025-05-20 06:00:00,21.8,92,0.0,1007.1,8.9
2025-05-20 07:00:00,22.3,90,0.0,1007.9,11.4
2025-05-20 08:00:00,23.0,86,0.0,1008.6,12.3
2025-05-20 09:00:00,23.9,81,0.0,1009.0,12.8
2025-05-20 10:00:00,24.6,79,0.2,1008.8,12.7
2025-05-20 11:00:00,25.3,76,0.3,1008.2,12.0
2025-05-20 12:00:00,26.2,72,0.1,1007.5,12.4
2025-05-20 13:00:00,26.1,72,0.4,1006.9,12.1
2025-05-20 14:00:00,25.9,73,0.6,1006.3,10.7
2025-05-20 15:00:00,26.0,74,0.2,1005.6,9.1
2025-05-20 16:00:00,25.6,75,1.0,1005.6,10.4
2025-05-20 17:00:00,24.6,80,1.6,1006.1,8.0
2025-05-20 18:00:00,24.2,83,1.0,1006.9,7.2
2025-05-20 19:00:00,23.8,85,1.0,1007.9,6.6
2025-05-20 20:00:00,23.4,87,1.0,1008.7,6.9
2025-05-20 21:00:00,23.0,87,0.0,1008.9,8.0
2025-05-20 22:00:00,22.6,87,0.0,1008.9,9.9
2025-05-20 23:00:00,22.2,87,0.0,1008.7,11.5
